,Borough,Neighborhood,ID,Name
0,Bronx,Parkchester,4c0b3abf340720a1e9eb8793,Crown Fried Chicken
1,Bronx,Belmont,4ca27b441ee76dcb950ff1dd,Bernie's Fish 'N' Chips And Restaurant
2,Brooklyn,Fort Greene,5bd49e5c1c675b002c9836ea,Peaches Hothouse
3,Brooklyn,Ocean Hill,4d55d7e5ba5b224b3a5d1314,Magic Soul Food
4,Brooklyn,Ocean Hill,4baa3e43f964a52006573ae3,Country Kitchen Soul Food Resturant
5,Brooklyn,Prospect Park South,4c1fe97deac020a125d14bc2,Manna's Soul Food
6,Manhattan,Central Harlem,4ad22304f964a5209bdf20e3,Londel's Restaurant
7,Manhattan,Upper West Side,4edfd5865c5cced979ab7dd1,Jacob's Pickles
8,Queens,St. Albans,4bca6684b6c49c746a899091,Crown Fried Chicken
9,Queens,Rochdale,4fda87cde4b06197212f5999,Southern Flair Restaurant
10,Queens,Far Rockaway,4c589a2e6407d13ad335b028,Spoonfull
11,Queens,Jamaica Hills,4c3aaa4916cb2d7fd8b801a9,Crown Fried Chicken
